section,title,url,meta,desc
finance,Little Book Beats the Market (Summary),https://fourminutebooks.com/...,#investing #value #strategy,A simple formula for consistent value investing.
finance,50/30/20 Rule (N26),https://n26.com/en-eu/blog/50-30-20-rule,#budgeting #money #management,Another breakdown of the popular budgeting ratio.
finance,20/10 Debt Rule,https://www.thebalancemoney.com/...,#debt #finance #limits,Max recommended personal debt load relative to income.
finance,ETF Research Overlap Tool,https://www.etfrc.com/funds/overlap.php,#investing #etf #tools,Compare holdings across ETFs to avoid redundancy.
finance,Dataroma,https://www.dataroma.com/m/home.php,#stocks #portfolio #research,Track what top investors are buying and holding.
finance,ETF Comparison Tool,https://www.etf.com/tools/etf-comparison,#investing #etf #analysis,Side-by-side ETF performance and cost analysis.
finance,Portfolio Visualizer,https://www.portfoliovisualizer.com/backtest-portfolio#analysisResults,#investing #simulation #risk,Backtest and stress-test portfolio allocations.
finance,Does Market Timing Work? (Schwab),https://www.schwab.com/learn/story/does-market-timing-work,#investing #behavior #longTerm,Evidence-based case against trying to time markets.
health,Why Sleep Deprivation Kills,https://www.quantamagazine.org/why-sleep-deprivation-kills-20200604/,#health #science #sleep,The cellular science behind why sleep is essential.
productivity,Writing as a Thinking Tool,https://nesslabs.com/writing-thinking-tool,#writing #learning #metacognition,How writing clarifies thought and boosts understanding.
productivity,Guide to Public Speaking (Ashcroft),https://michaelashcroft.com/writing/my-ultimate-guide-to-public-speaking/,#communication #publicSpeaking #selfImprovement,"A practical path to confident, conversational speaking."
productivity,Audience-First Products (Perell),https://perell.com/essay/audience-first-products/,#creatorEconomy #product #growth,"Build people first, product second."
productivity,Adjusting to New Normals,https://www.sarahkpeck.com/2020/04/adjusting-to-new-normals-four-things-april-26-2020/,#mentalHealth #adaptation #life,How to emotionally adapt during times of disruption.
productivity,Building a Second Brain (Illustrated),https://maggieappleton.com/basb,#pkm #learning #creativity,Visual guide to organizing your digital knowledge.
productivity,Growth Without Goals,https://investorfieldguide.com/growth-without-goals/,#selfImprovement #systems #philosophy,Personal progress through systems rather than targets.
productivity,Procrastination Equation,https://alexvermeer.com/how-we-use-the-procrastination-equation/,#productivity #psychology #habits,A practical formula for why we delay and how to stop.
productivity,100 Blocks a Day,https://waitbutwhy.com/2016/10/100-blocks-day.html,#timeManagement #selfAwareness #priorities,Visualizing daily time to make deliberate life choices.
productivity,Great Talks Most Haven’t Heard,https://jamesclear.com/great-speeches,#communication #learning #inspiration,A curated list of powerful and overlooked speeches.
productivity,Startup Founder’s Guide to Analytics,https://thinkgrowth.org/...,#startups #analytics #product,How to choose metrics that actually drive decisions.
productivity,100 Little Ideas (Housel),https://collabfund.com/blog/100-little-ideas/,#thinking #finance #life,A compact collection of insights on life and money.
psychology,Passive Barriers (Ramit Sethi),https://www.getrichslowly.org/passive-barriers/,#behavior #psychology #habits,Why small inconveniences stop action and how to remove them.
psychology,Life of Quiet Desperation,https://www.miketuritzin.com/writing/are-you-leading-a-life-of-quiet-desperation/,#philosophy #selfAwareness #meaning,A reflection on drifting through life without purpose.
psychology,Beyond Overpreparation,https://nesslabs.com/overpreparation,#growth #mindset #productivity,Learn to start before you feel perfectly ready.
science,Why Your Cat Thinks You're an Ape,https://www.wired.com/2014/10/cat-thinks-youre-huge-unpredictable-ape/,#animals #psychology #science,Understanding cat behavior through evolutionary mismatch.
science,The Fermi Paradox,https://waitbutwhy.com/2014/05/fermi-paradox.html,#science #cosmology #existential,Why we might be alone—or not—in the universe.
